"HGNC","logFC","logCPM","F","PValue","FDR"
"DIPK1B",-2.7964203571252,4.39423159348606,47.7401365268178,1.19054325006048e-09,1.50028291895122e-07
"DIPK2A",-0.65382214343288,4.88841294003619,1.84979301490693,0.177973987671905,0.280770053879132
"DIS3",-0.367455110599259,5.55688830244655,0.684374901179482,0.41183584262807,0.522728018484277
"DIS3L",-0.983870600164374,5.2104026665653,6.61574699070663,0.0126059990145476,0.0392480784636584
"DIS3L2",-0.94968822257333,5.42944989480754,6.31104662362832,0.0149847886020122,0.0448357683497485
"DISC1",-1.44441269430187,4.76911170056188,11.3735590443876,0.00113958504867346,0.00614798612416699
"DISP1",-1.00202412215157,4.90719926744386,3.14024212287851,0.0805810492427587,0.15762124371077
"DISP2",-2.98813443688339,4.61089977440215,37.724335006461,2.06326436307874e-08,1.30546793717476e-06
"DISP3",-2.95267363307049,4.64611112639155,31.3197393328554,2.24010590963336e-07,7.98935885978201e-06
"DIXDC1",-0.956437338127457,5.68072367957851,6.02488438147101,0.017561580935926,0.0502015551820554
"DKC1",-0.333267991221296,5.06516540592005,0.624500592787614,0.432263083595964,0.541743937521811
"DKK3",-1.94072653045756,4.37012064595437,10.126803323802,0.00204441602180864,0.00964689385093432
"DLAT",-0.592750640133947,5.32319183831629,2.66931262528217,0.107841537381298,0.194719967555819
"DLC1",-1.661779573489,4.54293131242397,8.83343951480501,0.00375351371255252,0.0155304139733747
"DLD",-0.240676003887859,5.5402213888159,0.288569625218104,0.593399694788787,0.683426518247985
"DLEC1",-0.12738485028137,7.31547958923224,0.0582460794685324,0.81035513040039,0.858497287509787
"DLEU1",-0.914755607762098,4.45097853329759,2.91731805509288,0.0908561949597732,0.171505103006078
"DLEU2",-1.15521973391844,4.52976699064855,5.13075308744672,0.025769562695836,0.0675017022495118
"DLEU7",-2.78834669599694,4.28103937076224,41.2946983291488,2.6061517463333e-08,1.57012855410566e-06
"DLG1",-0.609423117846149,6.08518115913439,2.66512223280134,0.109136258104357,0.196424481677467
"DLG2",-2.31761826219284,5.07334609190701,35.0672020791885,1.08581290217982e-07,4.58649796278304e-06
"DLG3",-0.539498244979531,6.0327595269087,1.68914719428328,0.199908481868623,0.305956170304421
"DLG4",-1.71955749915094,4.98475999567423,19.0312545128386,4.30618984269704e-05,0.000452209741675449
"DLG5",-0.554652313146019,6.67555312297386,1.93202703980584,0.171164231992267,0.272285452996745
"DLGAP1",-2.14026832284868,4.54814420293839,15.1832951047148,0.00018341024970282,0.00145668581723007
"DLGAP2",-2.17182899278212,4.70758320656536,14.7437811615983,0.000231597899177552,0.00174326701411794
"DLGAP3",-2.77206981279378,4.52907349671621,28.0025115236898,8.40447218022789e-07,2.13960317019202e-05
"DLGAP4",-1.18627096879877,5.46804541400218,10.2832429773773,0.00225513595512957,0.0104479674979992
"DLGAP5",-0.633821554897538,4.43127925517809,0.933041190778908,0.336507236340719,0.449607919062057
"DLK2",-1.18401358636131,4.33628198582759,4.04109990407887,0.0475461195487478,0.106754628035065
"DLL1",-1.39577163490594,4.69537816958028,13.4738442958676,0.000417837024626185,0.00278840754033414
"DLST",-0.554512997953651,5.4589184827065,1.61809284064901,0.208817185635028,0.315489407650404
"DMAC1",-0.475322932178157,5.04275506571058,1.23641519446755,0.270218609311103,0.38267894830516
"DMAC2",-1.16223410361987,4.68061048594357,8.30585024260255,0.00497550383041004,0.019272430564411
